"","type","ind","time","coefhat","tstat","iteration"
"91","mortality",216,216,128.603783592061,3.95021490393543,298
"92","mortality",147,147,113.290936302818,3.64192825758012,300
"93","mortality",147,147,114.522283209908,3.74976659706897,305
"94","mortality",166,166,55.9705433143225,4.23451369647071,305
"95","mortality",182,182,-89.2407022232152,-3.69223737922707,305
"96","mortality",221,221,-92.2986195964062,-3.62680902665374,305
"97","mortality",147,147,113.703706172516,3.52738546814325,311
"98","mortality",115,115,-92.7397216381854,-3.64289169839722,312
"99","mortality",216,216,119.487124097422,3.6602732220614,314
"100","mortality",218,218,-113.119899035618,-3.60968928605684,315
"101","mortality",146,146,-121.000523157516,-3.88345186947156,316
"102","mortality",121,121,112.505071655116,3.7633058251735,330
"103","mortality",147,147,132.868152334896,4.12753888336232,339
"104","mortality",218,218,-94.7355983832867,-3.66729691342837,342
"105","mortality",90,90,-129.144614403861,-3.83368940317372,344
"106","mortality",146,146,-126.147851181275,-3.54310216143271,346
"107","mortality",216,216,125.168380545266,4.03537724493319,351
"108","mortality",218,218,-138.956977363562,-4.20735587036038,355
